# timestamp,index,temperature.gpu,clocks.sm,clocks.mem,power.draw,utilization.gpu,memory.used,clocks_event_reasons.active
2026/08/29 10:22:23.084, 0, 59, 2805, 10251, 296.76, 100, 16977, 0x0000000000000000
2026/08/29 10:22:23.088, 1, 62, 2805, 10251, 281.81, 100, 16758, 0x0000000000000000
2026/08/29 10:23:23.115, 0, 60, 2805, 10251, 293.45, 100, 16977, 0x0000000000000000
2026/08/29 10:23:23.118, 1, 64, 2805, 10251, 277.45, 100, 16758, 0x0000000000000000
2026/08/29 10:24:23.144, 0, 48, 210, 405, 43.66, 0, 237, 0x0000000000000001
2026/08/29 10:24:23.146, 1, 47, 210, 405, 19.15, 0, 18, 0x0000000000000001
2026/08/29 10:25:23.175, 0, 57, 2805, 10251, 277.48, 100, 20577, 0x0000000000000000
2026/08/29 10:25:23.180, 1, 59, 2820, 10251, 263.30, 100, 20358, 0x0000000000000000
2026/08/29 10:26:23.210, 0, 57, 2805, 10251, 285.38, 100, 20577, 0x0000000000000000
2026/08/29 10:26:23.215, 1, 59, 2805, 10251, 270.11, 100, 20358, 0x0000000000000000
2026/08/29 10:27:23.244, 0, 59, 2805, 10251, 287.46, 100, 20597, 0x0000000000000000
2026/08/29 10:27:23.247, 1, 62, 2805, 10251, 272.14, 100, 20378, 0x0000000000000000
2026/08/29 10:28:23.274, 0, 54, 2805, 10251, 278.28, 100, 16977, 0x0000000000000000
2026/08/29 10:28:23.279, 1, 55, 2820, 10251, 262.73, 100, 16758, 0x0000000000000000
2026/08/29 10:29:23.309, 0, 57, 2805, 10251, 285.29, 100, 16977, 0x0000000000000000
2026/08/29 10:29:23.312, 1, 59, 2820, 10251, 270.75, 100, 16758, 0x0000000000000000
2026/08/29 10:30:23.340, 0, 60, 2805, 10251, 294.12, 100, 16977, 0x0000000000000000
2026/08/29 10:30:23.344, 1, 63, 2805, 10251, 278.17, 100, 16758, 0x0000000000000000
2026/08/29 10:31:23.370, 0, 59, 2805, 10251, 292.80, 100, 16977, 0x0000000000000000
2026/08/29 10:31:23.375, 1, 60, 2805, 10251, 278.38, 100, 16758, 0x0000000000000000
2026/08/29 10:32:23.404, 0, 54, 2805, 10251, 275.55, 100, 20577, 0x0000000000000000
2026/08/29 10:32:23.409, 1, 56, 2805, 10251, 262.53, 100, 20358, 0x0000000000000000
2026/08/29 10:33:23.440, 0, 59, 2805, 10251, 287.56, 100, 20577, 0x0000000000000000
2026/08/29 10:33:23.444, 1, 62, 2805, 10251, 271.92, 100, 20358, 0x0000000000000000
2026/08/29 10:34:23.476, 0, 59, 2805, 10251, 297.10, 100, 20597, 0x0000000000000000
2026/08/29 10:34:23.480, 1, 60, 2805, 10251, 282.40, 100, 20378, 0x0000000000000000
2026/08/29 10:35:23.514, 0, 52, 2805, 10251, 199.34, 53, 15879, 0x0000000000000000
2026/08/29 10:35:23.517, 1, 53, 2820, 10251, 185.11, 69, 15660, 0x0000000000000000
2026/08/29 10:36:23.544, 0, 57, 2805, 10251, 285.78, 100, 16977, 0x0000000000000000
2026/08/29 10:36:23.549, 1, 58, 2820, 10251, 271.65, 100, 16758, 0x0000000000000000
2026/08/29 10:37:23.578, 0, 61, 2790, 10251, 292.98, 100, 16977, 0x0000000000000000
2026/08/29 10:37:23.581, 1, 63, 2805, 10251, 277.51, 100, 16758, 0x0000000000000000
2026/08/29 10:38:23.607, 0, 60, 2790, 10251, 289.69, 100, 16977, 0x0000000000000000
2026/08/29 10:38:23.611, 1, 63, 2805, 10251, 276.22, 100, 16758, 0x0000000000000000
2026/08/29 10:39:23.648, 0, 47, 2625, 10251, 80.80, 0, 20557, 0x0000000000000000
2026/08/29 10:39:23.656, 1, 47, 2610, 10251, 54.06, 0, 20338, 0x0000000000000000
2026/08/29 10:40:23.687, 0, 57, 2805, 10251, 279.55, 100, 20577, 0x0000000000000000
2026/08/29 10:40:23.692, 1, 59, 2820, 10251, 265.85, 100, 20358, 0x0000000000000000
2026/08/29 10:41:23.721, 0, 58, 2790, 10251, 282.86, 100, 20577, 0x0000000000000000
2026/08/29 10:41:23.725, 1, 60, 2805, 10251, 268.07, 100, 20358, 0x0000000000000000
2026/08/29 10:42:23.757, 0, 49, 210, 405, 41.72, 0, 237, 0x0000000000000001
2026/08/29 10:42:23.760, 1, 47, 210, 405, 18.95, 0, 18, 0x0000000000000001
2026/08/29 10:43:23.786, 0, 59, 2805, 10251, 287.52, 100, 16977, 0x0000000000000000
2026/08/29 10:43:23.791, 1, 60, 2820, 10251, 273.04, 100, 16758, 0x0000000000000000
2026/08/29 10:44:23.822, 0, 60, 2805, 10251, 294.22, 100, 16977, 0x0000000000000000
2026/08/29 10:44:23.826, 1, 63, 2805, 10251, 276.12, 100, 16758, 0x0000000000000000
2026/08/29 10:45:23.855, 0, 61, 2805, 10251, 295.00, 100, 16977, 0x0000000000000000
2026/08/29 10:45:23.858, 1, 61, 2805, 10251, 277.52, 100, 16758, 0x0000000000000000
2026/08/29 10:46:23.886, 0, 47, 210, 405, 40.79, 0, 237, 0x0000000000000001
2026/08/29 10:46:23.889, 1, 45, 210, 405, 18.39, 0, 18, 0x0000000000000001
2026/08/29 10:47:23.917, 0, 50, 2805, 10251, 210.18, 100, 20577, 0x0000000000000000
2026/08/29 10:47:23.922, 1, 51, 2820, 10251, 202.45, 0, 20358, 0x0000000000000000
2026/08/29 10:48:23.955, 0, 60, 2790, 10251, 282.06, 100, 20577, 0x0000000000000000
2026/08/29 10:48:23.959, 1, 60, 2805, 10251, 268.18, 100, 20358, 0x0000000000000000
2026/08/29 10:49:23.987, 0, 61, 2805, 10251, 291.02, 100, 20597, 0x0000000000000000
2026/08/29 10:49:23.992, 1, 64, 2805, 10251, 273.24, 100, 20378, 0x0000000000000000
2026/08/29 10:50:24.021, 0, 55, 2805, 10251, 286.22, 100, 16977, 0x0000000000000000
2026/08/29 10:50:24.025, 1, 57, 2805, 10251, 270.32, 100, 16758, 0x0000000000000000
2026/08/29 10:51:24.050, 0, 59, 2790, 10251, 297.64, 100, 16977, 0x0000000000000000
2026/08/29 10:51:24.053, 1, 61, 2805, 10251, 282.67, 100, 16758, 0x0000000000000000
2026/08/29 10:52:24.080, 0, 58, 2790, 10251, 293.30, 100, 16977, 0x0000000000000000
2026/08/29 10:52:24.084, 1, 64, 2805, 10251, 276.06, 100, 16758, 0x0000000000000000
